iter	Passed	Remaining
0	14	4364
1	27	4058
2	55	5457
3	66	4916
4	83	4908
5	97	4778
6	109	4591
7	124	4536
8	138	4474
9	155	4507
10	170	4469
11	181	4355
12	197	4349
13	207	4238
14	220	4192
15	234	4153
16	247	4114
17	260	4078
18	273	4044
19	289	4047
20	302	4012
21	315	3987
22	325	3921
23	336	3868
24	349	3842
25	371	3911
26	385	3900
27	400	3891
28	415	3878
29	437	3934
30	461	4008
31	474	3973
32	488	3950
33	497	3893
34	510	3863
35	522	3831
36	537	3818
37	547	3777
38	559	3744
39	570	3707
40	582	3677
41	594	3649
42	627	3749
43	646	3761
44	659	3736
45	671	3709
46	682	3676
47	703	3695
48	715	3663
49	728	3642
50	740	3614
51	752	3589
52	763	3560
53	776	3539
54	790	3519
55	801	3493
56	815	3475
57	827	3453
58	840	3432
59	851	3406
60	864	3385
61	888	3408
62	902	3396
63	916	3380
64	928	3357
65	950	3370
66	963	3350
67	986	3364
68	999	3346
69	1010	3320
70	1024	3303
71	1033	3271
72	1043	3246
73	1057	3230
74	1070	3210
75	1081	3186
76	1088	3153
77	1096	3120
78	1107	3098
79	1116	3069
80	1129	3053
81	1140	3032
82	1153	3016
83	1166	2998
84	1175	2974
85	1189	2960
86	1199	2937
87	1208	2912
88	1218	2889
89	1240	2893
90	1254	2880
91	1267	2866
92	1282	2854
93	1294	2836
94	1308	2822
95	1317	2799
96	1330	2785
97	1341	2765
98	1361	2764
99	1373	2746
100	1386	2731
101	1395	2709
102	1408	2693
103	1421	2678
104	1428	2653
105	1443	2641
106	1456	2626
107	1465	2606
108	1477	2588
109	1489	2572
110	1503	2559
111	1513	2540
112	1524	2522
113	1531	2499
114	1553	2498
115	1570	2490
116	1583	2476
117	1592	2456
118	1605	2442
119	1615	2423
120	1627	2407
121	1635	2385
122	1645	2367
123	1657	2352
124	1676	2347
125	1686	2328
126	1700	2316
127	1713	2302
128	1723	2284
129	1733	2267
130	1744	2250
131	1756	2235
132	1768	2220
133	1777	2201
134	1793	2192
135	1807	2180
136	1826	2172
137	1838	2158
138	1849	2142
139	1861	2127
140	1874	2113
141	1893	2106
142	1903	2090
143	1915	2075
144	1928	2061
145	1946	2052
146	1957	2037
147	1969	2022
148	1981	2007
149	1990	1990
150	2000	1974
151	2017	1963
152	2027	1948
153	2040	1934
154	2057	1924
155	2070	1911
156	2082	1896
157	2092	1880
158	2103	1865
159	2116	1851
160	2133	1841
161	2145	1827
162	2161	1816
163	2170	1800
164	2191	1792
165	2203	1778
166	2215	1764
167	2225	1748
168	2239	1736
169	2254	1724
170	2268	1711
171	2278	1695
172	2290	1681
173	2303	1668
174	2316	1654
175	2328	1640
176	2351	1634
177	2365	1621
178	2376	1606
179	2401	1600
180	2422	1592
181	2433	1577
182	2443	1561
183	2454	1547
184	2468	1534
185	2477	1518
186	2487	1503
187	2501	1490
188	2512	1475
189	2525	1462
190	2535	1447
191	2547	1433
192	2558	1418
193	2569	1403
194	2595	1397
195	2608	1384
196	2620	1369
197	2632	1355
198	2643	1341
199	2656	1328
200	2677	1318
201	2688	1304
202	2701	1291
203	2713	1276
204	2725	1262
205	2738	1249
206	2752	1236
207	2765	1223
208	2792	1216
209	2807	1203
210	2820	1189
211	2832	1175
212	2843	1161
213	2854	1147
214	2878	1138
215	2893	1125
216	2911	1113
217	2936	1104
218	2948	1090
219	2958	1075
220	2968	1061
221	2982	1047
222	2999	1035
223	3012	1022
224	3025	1008
225	3034	993
226	3066	986
227	3079	972
228	3092	958
229	3109	946
230	3123	932
231	3136	919
232	3150	905
233	3162	891
234	3174	878
235	3185	863
236	3196	849
237	3212	836
238	3224	823
239	3237	809
240	3248	795
241	3259	781
242	3270	767
243	3292	755
244	3302	741
245	3316	728
246	3328	714
247	3341	700
248	3350	686
249	3365	673
250	3376	659
251	3395	646
252	3407	633
253	3419	619
254	3440	607
255	3453	593
256	3465	579
257	3478	566
258	3491	552
259	3513	540
260	3526	526
261	3538	513
262	3550	499
263	3560	485
264	3571	471
265	3583	458
266	3595	444
267	3609	430
268	3623	417
269	3636	404
270	3647	390
271	3659	376
272	3669	362
273	3679	349
274	3692	335
275	3703	322
276	3715	308
277	3742	296
278	3754	282
279	3767	269
280	3779	255
281	3791	242
282	3805	228
283	3820	215
284	3831	201
285	3845	188
286	3858	174
287	3872	161
288	3895	148
289	3917	135
290	3931	121
291	3941	107
292	3961	94
293	3974	81
294	3985	67
295	3996	54
296	4015	40
297	4047	27
298	4059	13
299	4073	0
